GEOID_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20,AREALAND_PART
29130,45039,Fairfield County,326903498
72542,05135,Sharp County,326843854
59008,30009,Carbon County,326838612
39362,28041,Greene County,326826031
89409,32023,Nye County,326638124
66871,20031,Coffey County,326601004
73051,40027,Cleveland County,326537944
37659,47179,Washington County,326432180
54490,55119,Taylor County,326431021
38052,47069,Hardeman County,326420958
65051,29151,Osage County,326377964
70715,22077,Pointe Coupee Parish,326371535
98570,53041,Lewis County,326354846
75754,48467,Van Zandt County,326318831
72701,05143,Washington County,326307256
17325,42001,Adams County,326224054
97386,41043,Linn County,326205130
85658,04021,Pinal County,326148664
80424,08117,Summit County,326114862
15501,42111,Somerset County,326062911
24266,51167,Russell County,325950104
69132,31111,Lincoln County,325913284
71423,22043,Grant Parish,325906057
98356,53041,Lewis County,325903834
87007,35006,Cibola County,325900553
27865,37013,Beaufort County,325844741
67842,20057,Ford County,325754681
56520,27167,Wilkin County,325734740
72324,05037,Cross County,325703665
36475,01035,Conecuh County,325637212
72370,05093,Mississippi County,325626977
28516,37031,Carteret County,325567852
65326,29015,Benton County,325549648
92082,06073,San Diego County,325517650
29153,45085,Sumter County,325461182
97833,41001,Baker County,325410192
83851,16009,Benewah County,325369128
39897,13131,Grady County,325266082
39073,28121,Rankin County,325263929
24554,51031,Campbell County,325258091
74759,40023,Choctaw County,325230309
83422,16081,Teton County,325206252
32421,12013,Calhoun County,325058078
76667,48293,Limestone County,325009429
04785,23003,Aroostook County,324891986
24739,54055,Mercer County,324858338
56685,27007,Beltrami County,324855771
54437,55019,Clark County,324640791
54566,55041,Forest County,324639222
41653,21071,Floyd County,324534244
53818,55043,Grant County,324327472
51445,19093,Ida County,324282889
58281,38019,Cavalier County,324191838
04947,23007,Franklin County,324181577
28352,37165,Scotland County,324162230
76857,48049,Brown County,323994842
24592,51083,Halifax County,323991437
95236,06077,San Joaquin County,323978967
32583,12113,Santa Rosa County,323912243
70753,22077,Pointe Coupee Parish,323875717
26802,54071,Pendleton County,323815851
73660,40129,Roger Mills County,323755071
68901,31001,Adams County,323732422
75412,48387,Red River County,323676549
76571,48027,Bell County,323672211
56711,27077,Lake of the Woods County,323659886
67556,20165,Rush County,323653822
36040,01085,Lowndes County,323619974
31620,13075,Cook County,323619775
49740,26047,Emmet County,323559078
77871,48289,Leon County,323434153
61938,17029,Coles County,323392544
57235,46029,Codington County,323377953
54982,55137,Waushara County,323362954
61953,17041,Douglas County,323334515
76371,48275,Knox County,323330015
76448,48133,Eastland County,323317514
68875,31077,Greeley County,323274481
84642,49039,Sanpete County,323270586
14850,36109,Tompkins County,323269097
70655,22003,Allen Parish,323268405
97338,41053,Polk County,323267715
78349,48131,Duval County,323045369
32097,12089,Nassau County,323014074
62568,17021,Christian County,323009515
79506,48353,Nolan County,322995031
97732,41025,Harney County,322982233
73099,40017,Canadian County,322978814
66941,20089,Jewell County,322950056
22963,51065,Fluvanna County,322874437
67526,20009,Barton County,322859642
95494,06045,Mendocino County,322846427
56467,27057,Hubbard County,322842773
29115,45075,Orangeburg County,322839511
83632,16003,Adams County,322797493
50677,19017,Bremer County,322786938
57315,46009,Bon Homme County,322758161
88025,35017,Grant County,322732562
39851,13061,Clay County,322674237
38305,47113,Madison County,322657397
97499,41019,Douglas County,322642308
56271,27151,Swift County,322616935
75846,48289,Leon County,322501879
33873,12049,Hardee County,322500083
70526,22001,Acadia Parish,322460829
36769,01131,Wilcox County,322367049
45690,39131,Pike County,322272776
58257,38097,Traill County,322204653
70426,22117,Washington Parish,322151274
34714,12069,Lake County,322148892
98925,53037,Kittitas County,322055510
74543,40127,Pushmataha County,322004306
16823,42027,Centre County,321944562
89831,32007,Elko County,321805727
52591,19107,Keokuk County,321773777
77356,48339,Montgomery County,321761209
66866,20115,Marion County,321597871
43725,39059,Guernsey County,321593441
97537,41029,Jackson County,321408843
68856,31041,Custer County,321396459
32092,12109,St. Johns County,321293198
68008,31177,Washington County,321263712
33843,12105,Polk County,321241335
64701,29037,Cass County,321230217
58532,38015,Burleigh County,321229856
27885,37095,Hyde County,321210143
77316,48339,Montgomery County,321190199
57025,46127,Union County,321171561
43844,39031,Coshocton County,321067542
62466,17101,Lawrence County,321053372
49801,26043,Dickinson County,320963925
71473,22127,Winn Parish,320934511
47906,18157,Tippecanoe County,320669994
37380,47115,Marion County,320603325
28705,37121,Mitchell County,320555015
67143,20007,Barber County,320437347
27524,37101,Johnston County,320436909
66935,20157,Republic County,320419526
16836,42033,Clearfield County,320381811
49885,26103,Marquette County,320339717
82223,56015,Goshen County,320273401
74066,40037,Creek County,320162054
86440,04015,Mohave County,320158229
80863,08119,Teller County,320124811
31320,13179,Liberty County,320068808
13365,36043,Herkimer County,319999991
26456,54017,Doddridge County,319978265
49880,26103,Marquette County,319893570
62454,17033,Crawford County,319881446
73537,40065,Jackson County,319878906
55779,27137,St. Louis County,319850780
37322,47121,Meigs County,319650399
65459,29125,Maries County,319576373
71631,05011,Bradley County,319504122
74939,40079,Le Flore County,319491241
74871,40123,Pontotoc County,319480792
59934,30053,Lincoln County,319429844
12134,36041,Hamilton County,319397188
22827,51165,Rockingham County,319377921
28340,37155,Robeson County,319360186
76464,48417,Shackelford County,319334261
95461,06033,Lake County,319309317
80750,08087,Morgan County,319221654
68627,31011,Boone County,319145651
65441,29055,Crawford County,319066461
99652,02170,Matanuska-Susitna Borough,319018355
27850,37083,Halifax County,319001126
61364,17099,LaSalle County,318976803
59065,30067,Park County,318970296
26508,54061,Monongalia County,318892928
63801,29201,Scott County,318843089
54449,55141,Wood County,318839554
47353,18161,Union County,318770736
69142,31171,Thomas County,318759925
28364,37155,Robeson County,318749302
35654,01059,Franklin County,318749290
65020,29029,Camden County,318711003
56221,27149,Stevens County,318670071
67431,20041,Dickinson County,318559536
84537,49015,Emery County,318549347
49631,26133,Osceola County,318510804
31020,13289,Twiggs County,318488866
98362,53009,Clallam County,318488418
97840,41001,Baker County,318353021
38925,28097,Montgomery County,318328227
75751,48213,Henderson County,318259673
96748,15009,Maui County,318120746
57538,46053,Gregory County,318109915
12827,36115,Washington County,318109184
65486,29131,Miller County,318086218
54520,55041,Forest County,318030079
71266,22123,West Carroll Parish,318002381
67570,20155,Reno County,317957416
04468,23019,Penobscot County,317936334
71826,05073,Lafayette County,317853376
85614,04019,Pima County,317848998
68812,31019,Buffalo County,317824638
78389,48025,Bee County,317792955
94574,06055,Napa County,317790732
79601,48253,Jones County,317700144
04406,23021,Piscataquis County,317699464
46714,18179,Wells County,317519273
34449,12075,Levy County,317483908
97438,41039,Lane County,317411797
57276,46011,Brookings County,317411364
27546,37085,Harnett County,317366706
73067,40051,Grady County,317362810
21863,24047,Worcester County,317361643
04938,23007,Franklin County,317235282
96007,06089,Shasta County,317220074
58581,38051,McIntosh County,317204991
95423,06033,Lake County,317102270
39169,28051,Holmes County,317045635
39041,28049,Hinds County,317043791
56654,27071,Koochiching County,317007873
59916,30029,Flathead County,316857947
55041,27157,Wabasha County,316839579
17815,42037,Columbia County,316831563
95333,06047,Merced County,316819089
71430,22079,Rapides Parish,316758865
63361,29139,Montgomery County,316678811
55717,27137,St. Louis County,316616492
58282,38067,Pembina County,316615134
27810,37095,Hyde County,316560323
79097,48065,Carson County,316436884
42327,21149,McLean County,316436519
47394,18135,Randolph County,316311189
96132,06035,Lassen County,316286097
65263,29137,Monroe County,316255123
49633,26079,Kalkaska County,316252748
59466,30101,Toole County,316115666
56724,27089,Marshall County,316112346
79520,48253,Jones County,316094235
58063,38003,Barnes County,316081142
93532,06037,Los Angeles County,316050333
67757,20179,Sheridan County,316033796
58711,38009,Bottineau County,316009823
32309,12073,Leon County,315989984
79255,48045,Briscoe County,315975095
93620,06047,Merced County,315916284
15301,42125,Washington County,315861121
46761,18087,LaGrange County,315712392
30668,13317,Wilkes County,315708566
48446,26087,Lapeer County,315690767
97446,41043,Linn County,315648584
38703,28151,Washington County,315603489
39834,13087,Decatur County,315594224
79009,48369,Parmer County,315529027
75975,48419,Shelby County,315472188
57428,46045,Edmunds County,315414434
52301,19095,Iowa County,315414012
59732,30001,Beaverhead County,315344291
42347,21183,Ohio County,315190312
57223,46057,Hamlin County,315121748
82084,56001,Albany County,315102053
14094,36063,Niagara County,315081480
49765,26141,Presque Isle County,315057072
98859,53047,Okanogan County,314974831
68726,31003,Antelope County,314923025
84071,49045,Tooele County,314911964
47546,18037,Dubois County,314863843
68756,31003,Antelope County,314837904
78569,48489,Willacy County,314817054
50830,19175,Union County,314784954
67579,20159,Rice County,314679529
51546,19085,Harrison County,314615657
47834,18021,Clay County,314497101
67525,20009,Barton County,314494910
58429,38003,Barnes County,314424236
30721,13313,Whitfield County,314400525
67739,20153,Rawlins County,314389820
53934,55001,Adams County,314367510
57433,46013,Brown County,314356176
57648,38029,Emmons County,314229222
24370,51173,Smyth County,314082496
76656,48145,Falls County,313804669
32040,12003,Baker County,313772341
29581,45051,Horry County,313764279
42256,21141,Logan County,313748368
68651,31143,Polk County,313746736
35579,01127,Walker County,313680299
65231,29027,Callaway County,313646359
98632,53015,Cowlitz County,313590807
46703,18151,Steuben County,313523931
49309,26123,Newaygo County,313507387
64402,29075,Gentry County,313494949
56278,27011,Big Stone County,313434468
59469,30045,Judith Basin County,313251693
55066,27049,Goodhue County,313193762
54521,55125,Vilas County,313143724
24112,51089,Henry County,313084252
31563,13001,Appling County,313041877
58477,38015,Burleigh County,312955066
04654,23029,Washington County,312812462
83344,16031,Cassia County,312669397
36280,01111,Randolph County,312571663
56723,27119,Polk County,312538590
36907,01119,Sumter County,312524215
83876,16055,Kootenai County,312412002
83127,56023,Lincoln County,312411308
42642,21207,Russell County,312295771
58218,38097,Traill County,312274632
14810,36101,Steuben County,312260192
67648,20167,Russell County,312236356
31709,13261,Sumter County,312209051
29544,45051,Horry County,312179424
33830,12105,Polk County,312177775
72366,05107,Phillips County,312116256
57033,46099,Minnehaha County,312106366
82944,56041,Uinta County,312101040
65582,29125,Maries County,311985698
23868,51025,Brunswick County,311978208
48612,26051,Gladwin County,311961341
73530,40141,Tillman County,311954099
38930,28083,Leflore County,311860692
48847,26057,Gratiot County,311820880
88263,35015,Eddy County,311784252
65712,29109,Lawrence County,311745956
31622,13019,Berrien County,311724145
54981,55135,Waupaca County,311690712
58367,38079,Rolette County,311537792
56634,27029,Clearwater County,311285417
54937,55039,Fond du Lac County,311093919
95589,06023,Humboldt County,311049258
72774,05143,Washington County,311037028
95037,06085,Santa Clara County,311001106
16841,42027,Centre County,310896567
23924,51117,Mecklenburg County,310859484
60481,17197,Will County,310820628
95573,06023,Humboldt County,310762053
47601,18173,Warrick County,310756431
54835,55113,Sawyer County,310693961
55787,27001,Aitkin County,310627659
04426,23021,Piscataquis County,310596140
97131,41057,Tillamook County,310534288
56464,27159,Wadena County,310515872
46534,18149,Starke County,310489954
49221,26091,Lenawee County,310475983
67425,20169,Saline County,310433876
24343,51035,Carroll County,310301022
16353,42053,Forest County,310297188
31555,13305,Wayne County,310294601
55738,27137,St. Louis County,310287705
67548,20165,Rush County,310274944
75109,48349,Navarro County,310266948
66755,20001,Allen County,310264738
59454,30101,Toole County,310215598
17236,42055,Franklin County,310171515
75783,48499,Wood County,310065078
82833,56033,Sheridan County,310050556
57522,46065,Hughes County,309979769
87722,35033,Mora County,309941972
24354,51173,Smyth County,309930053
76570,48145,Falls County,309813125
62995,17087,Johnson County,309580049
57376,46067,Hutchinson County,309547983
68972,31061,Franklin County,309514102
66842,20015,Butler County,309370781
57030,46099,Minnehaha County,309295608
58480,38003,Barnes County,309291080
49774,26033,Chippewa County,309276855
71336,22041,Franklin Parish,309241353
85932,04001,Apache County,309166705
71016,22013,Bienville Parish,309111521
27970,37187,Washington County,308983313
78063,48019,Bandera County,308921797
52738,19115,Louisa County,308921030
57313,46043,Douglas County,308897097
79234,48345,Motley County,308877281
75488,48147,Fannin County,308788205
19947,10005,Sussex County,308773039
68920,31083,Harlan County,308764548
58736,38049,McHenry County,308744617
37847,47013,Campbell County,308737190
51555,19085,Harrison County,308716887
49877,26043,Dickinson County,308691479
58460,38047,Logan County,308676781
24966,54025,Greenbrier County,308622836
79381,48305,Lynn County,308598982
74953,40079,Le Flore County,308577025
79039,48065,Carson County,308574839
46901,18067,Howard County,308484598
30736,13047,Catoosa County,308398495
80537,08069,Larimer County,308323535
04623,23029,Washington County,308216312
28586,37049,Craven County,308209698
66087,20043,Doniphan County,308197479
29453,45015,Berkeley County,308178714
83843,16057,Latah County,308131641
22630,51187,Warren County,308116443
53946,55047,Green Lake County,308099464
65338,29015,Benton County,308047630
85609,04003,Cochise County,308029228
93245,06031,Kings County,307952749
32059,12079,Madison County,307896828
87305,35031,McKinley County,307872863
78113,48493,Wilson County,307836536
38570,47133,Overton County,307812226
64469,29063,DeKalb County,307808629
99224,53063,Spokane County,307728030
13021,36011,Cayuga County,307620354
73659,40043,Dewey County,307536945
73625,40039,Custer County,307481215
24263,51105,Lee County,307429535
56284,27129,Renville County,307426173
28504,37107,Lenoir County,307422367
39086,28021,Claiborne County,307214266
76705,48309,McLennan County,307207793
95634,06017,El Dorado County,307201279
54526,55107,Rusk County,307161674
85631,04021,Pinal County,307138151
31560,13305,Wayne County,307129465
41171,21063,Elliott County,307086361
97361,41053,Polk County,307073828
31090,13319,Wilkinson County,307035496
71203,22073,Ouachita Parish,307022640
73766,40053,Grant County,307004791
81633,08081,Moffat County,306936815
83847,16021,Boundary County,306860034
65101,29051,Cole County,306850624
29506,45041,Florence County,306847337
76266,48121,Denton County,306840388
47374,18177,Wayne County,306722733
36482,01025,Clarke County,306722390
49799,26031,Cheboygan County,306690909
93608,06019,Fresno County,306669469
75631,48365,Panola County,306624019
38069,47075,Haywood County,306613567
32024,12023,Columbia County,306592913
27932,37041,Chowan County,306574359
75770,48213,Henderson County,306485714
77659,48199,Hardin County,306469440
78140,48177,Gonzales County,306467617
93455,06083,Santa Barbara County,306465106
77662,48361,Orange County,306435456
58272,38063,Nelson County,306384138
85743,04019,Pima County,306267372
63357,29219,Warren County,306257329
67850,20101,Lane County,306249117
76501,48027,Bell County,306246030
85639,04019,Pima County,306229537
72959,05143,Washington County,306188136
58531,38055,McLean County,306139189
85930,04001,Apache County,306091691
56055,27013,Blue Earth County,306049792
54001,55095,Polk County,306038044
18657,42131,Wyoming County,306026256
56201,27067,Kandiyohi County,305980266
17202,42055,Franklin County,305964586
77484,48473,Waller County,305739559
27826,37095,Hyde County,305733637
47905,18157,Tippecanoe County,305686069
47909,18157,Tippecanoe County,305676563
64080,29037,Cass County,305627986
31565,13039,Camden County,305599127
75165,48139,Ellis County,305496834
62347,17001,Adams County,305463074
77837,48395,Robertson County,305210906
89832,32007,Elko County,305194548
61081,17195,Whiteside County,305171088
96054,06049,Modoc County,305068069
37745,47059,Greene County,305029675
93667,06019,Fresno County,304965972
49756,26135,Oscoda County,304961969
39345,28101,Newton County,304923529
51579,19085,Harrison County,304901400
77371,48407,San Jacinto County,304708535
26452,54041,Lewis County,304704843
76629,48395,Robertson County,304646449
73547,40055,Greer County,304457133
32609,12001,Alachua County,304451361
49420,26127,Oceana County,304442489
29015,45039,Fairfield County,304414470
98290,53061,Snohomish County,304325043
84515,49019,Grand County,304280730
37869,47067,Hancock County,304244634
87728,35007,Colfax County,304142480
57048,46087,McCook County,304102538
75554,48387,Red River County,304081977
35976,01095,Marshall County,304064540
68665,31077,Greeley County,304020757
75929,48405,San Augustine County,303985313
57476,46115,Spink County,303965898
28423,37047,Columbus County,303958593
66534,20131,Nemaha County,303936303
49656,26085,Lake County,303918491
54435,55069,Lincoln County,303908933
04418,23019,Penobscot County,303869321
50201,19169,Story County,303853447
57359,46111,Sanborn County,303846413
75650,48203,Harrison County,303844974
98533,53041,Lewis County,303841519
46131,18081,Johnson County,303791258
50428,19033,Cerro Gordo County,303713959
72110,05029,Conway County,303710728
35967,01049,DeKalb County,303682250
27976,37029,Camden County,303649058
39154,28049,Hinds County,303498663
75789,48073,Cherokee County,303479625
30428,13309,Wheeler County,303474906
24251,51169,Scott County,303451722
39663,28077,Lawrence County,303412932
58735,38101,Ward County,303354614
93644,06039,Madera County,303348779
85361,04013,Maricopa County,303328833
29565,45033,Dillon County,303281649
34137,12021,Collier County,303140630
58778,38055,McLean County,303120464
04686,23029,Washington County,303101969
29944,45049,Hampton County,303099007
52742,19045,Clinton County,303097646
56036,27047,Freeborn County,303001503
22830,51165,Rockingham County,302968815
23882,51183,Sussex County,302961626
76635,48293,Limestone County,302873526
04330,23011,Kennebec County,302863875
89179,32003,Clark County,302798830
57725,46103,Pennington County,302768756
71032,22031,De Soto Parish,302711896
58260,38019,Cavalier County,302654753
58439,38021,Dickey County,302488009
12164,36041,Hamilton County,302464753
64831,29119,McDonald County,302435093
72662,05009,Boone County,302403090
83803,16017,Bonner County,302390045
56223,27173,Yellow Medicine County,302384800
35653,01059,Franklin County,302371245
57059,46009,Bon Homme County,302244929
67446,20123,Mitchell County,302057227
35761,01089,Madison County,301943308
18614,42113,Sullivan County,301868563
13440,36065,Oneida County,301853636
71742,05039,Dallas County,301822257
81657,08037,Eagle County,301737983
80403,08059,Jefferson County,301735521
78959,48177,Gonzales County,301732977
83552,16049,Idaho County,301697611
95469,06045,Mendocino County,301694830
80744,08115,Sedgwick County,301691220
49028,26023,Branch County,301652580
66088,20087,Jefferson County,301651796
79220,48125,Dickens County,301569910
83860,16017,Bonner County,301531728
37066,47165,Sumner County,301307565
71658,05003,Ashley County,301288294
56172,27101,Murray County,301218663
95358,06099,Stanislaus County,301128776
83355,16047,Gooding County,301100815
98541,53027,Grays Harbor County,301097754
28712,37175,Transylvania County,300989393
73559,40075,Kiowa County,300915237
95953,06101,Sutter County,300846524
13316,36065,Oneida County,300679106
78638,48187,Guadalupe County,300678930
30707,13295,Walker County,300675574
31568,13039,Camden County,300619854
96011,06089,Shasta County,300463519
96129,06063,Plumas County,300440000
31554,13069,Coffee County,300436600
14895,36003,Allegany County,300405547
55027,27049,Goodhue County,300378353
92305,06071,San Bernardino County,300215869
58656,38089,Stark County,300206250
81632,08037,Eagle County,300189817
92028,06073,San Diego County,300136299
85746,04019,Pima County,300082523
80466,08013,Boulder County,300019369
84086,49033,Rich County,299949394
72756,05007,Benton County,299883183
47987,18045,Fountain County,299602017
97903,41045,Malheur County,299460416
29666,45047,Greenwood County,299389879
32068,12019,Clay County,299244606
64491,29005,Atchison County,299232464
47567,18125,Pike County,299131601
67584,20135,Ness County,299047133
71202,22073,Ouachita Parish,298984995
80649,08123,Weld County,298984196
38506,47141,Putnam County,298866607
97391,41041,Lincoln County,298717168
12927,36089,St. Lawrence County,298712545
84523,49015,Emery County,298644826
35592,01075,Lamar County,298552385
23842,51149,Prince George County,298547540
77861,48185,Grimes County,298492969
96056,06035,Lassen County,298408284
57054,46079,Lake County,298394255
30204,13171,Lamar County,298349097
67574,20145,Pawnee County,298322813
67142,20095,Kingman County,298292297
78116,48255,Karnes County,298267173
26554,54049,Marion County,298184789
58486,38103,Wells County,298047199
29584,45025,Chesterfield County,298030866
35611,01083,Limestone County,297992591
68745,31027,Cedar County,297971382
31630,13065,Clinch County,297962419
59037,30111,Yellowstone County,297872883
75852,48313,Madison County,297860702
66949,20089,Jewell County,297853800
50003,19049,Dallas County,297841727
79553,48253,Jones County,297817600
34736,12069,Lake County,297798116
93544,06037,Los Angeles County,297760176
25427,54003,Berkeley County,297638841
98857,53025,Grant County,297634282
99922,02198,Prince of Wales-Hyder Census Area,297584072
64778,29217,Vernon County,297547485
53511,55105,Rock County,297477320
99663,02122,Kenai Peninsula Borough,297418151
29532,45031,Darlington County,297405851
71764,05103,Ouachita County,297389154
52151,19005,Allamakee County,297373873
71601,05069,Jefferson County,297294195
21853,24039,Somerset County,297288948
31824,13307,Webster County,297271868
70791,22033,East Baton Rouge Parish,297250278
79532,48335,Mitchell County,297203264
50548,19091,Humboldt County,297198979
97626,41035,Klamath County,297194391
93292,06107,Tulare County,297188460
69028,31063,Frontier County,297171441
98603,53015,Cowlitz County,297140389
81226,08043,Fremont County,297124918
65663,29167,Polk County,297110709
86323,04025,Yavapai County,297087092
70589,22097,St. Landry Parish,297079911
99403,53003,Asotin County,297061237
42765,21099,Hart County,297023215
53014,55015,Calumet County,297009783
79562,48441,Taylor County,296946840
16313,42123,Warren County,296910209
30643,13147,Hart County,296885004
48728,26001,Alcona County,296876405
45631,39053,Gallia County,296796519
56001,27013,Blue Earth County,296606081
16335,42039,Crawford County,296581926
18428,42103,Pike County,296498133
76426,48497,Wise County,296493640
72032,05045,Faulkner County,296469421
80816,08119,Teller County,296363283
86043,04017,Navajo County,296350714
35546,01125,Tuscaloosa County,296341091
26143,54105,Wirt County,296302796
34987,12111,St. Lucie County,296265402
74019,40131,Rogers County,296219256
42081,21139,Livingston County,296192330
53121,55127,Walworth County,296191016
28574,37133,Onslow County,296127315
71232,22065,Madison Parish,296121817
54565,55051,Iron County,296086228
47348,18009,Blackford County,295975794
39503,28047,Harrison County,295952600
37323,47011,Bradley County,295843548
56362,27145,Stearns County,295822810
57066,46009,Bon Homme County,295767050
93452,06079,San Luis Obispo County,295682347
47446,18093,Lawrence County,295625217
67656,20195,Trego County,295613400
50849,19001,Adair County,295582738
29710,45091,York County,295475111
37354,47123,Monroe County,295445303
75140,48467,Van Zandt County,295436398
33194,12086,Miami-Dade County,295299552
95252,06009,Calaveras County,295259472
68757,31051,Dixon County,295180433
75092,48181,Grayson County,295108630
55949,27045,Fillmore County,295006953
98591,53041,Lewis County,294993070
67581,20155,Reno County,294929884
40071,21215,Spencer County,294919853
58276,38067,Pembina County,294896720
78013,48259,Kendall County,294886429
97465,41015,Curry County,294881250
49304,26085,Lake County,294868266
45013,39017,Butler County,294819106
59735,30057,Madison County,294805277
29730,45091,York County,294768751
39652,28113,Pike County,294715998
45502,39023,Clark County,294647894
75861,48001,Anderson County,294527577
34601,12053,Hernando County,294487130
72543,05023,Cleburne County,294430370
99682,02122,Kenai Peninsula Borough,294408170
72122,05125,Saline County,294348513
38059,47045,Dyer County,294345735
99654,02170,Matanuska-Susitna Borough,294309959
32696,12075,Levy County,294276377
97845,41023,Grant County,294115806
97112,41057,Tillamook County,294067995
31636,13101,Echols County,293989213
71838,05057,Hempstead County,293980461
56732,27069,Kittson County,293933632
73544,40057,Harmon County,293886076
22602,51069,Frederick County,293863419
38619,28107,Panola County,293857080
96110,06049,Modoc County,293845608
73638,40129,Roger Mills County,293838424
32539,12091,Okaloosa County,293828904
52565,19177,Van Buren County,293752790
76888,48083,Coleman County,293730241
65548,29091,Howell County,293720160
29472,45035,Dorchester County,293608192
76692,48217,Hill County,293585599
48854,26065,Ingham County,293569151
71660,05025,Cleveland County,293500021
92243,06025,Imperial County,293427599
98538,53041,Lewis County,293413699
49795,26137,Otsego County,293324173
79533,48417,Shackelford County,293278699
68930,31181,Webster County,293278202
40165,21029,Bullitt County,293277079
83801,16055,Kootenai County,293129620
49031,26027,Cass County,293099347
61542,17057,Fulton County,293005377
61028,17085,Jo Daviess County,292899322
99832,02105,Hoonah-Angoon Census Area,292874210
30669,13133,Greene County,292570709
80755,08125,Yuma County,292535484
33187,12086,Miami-Dade County,292503126
35045,01021,Chilton County,292444511
73028,40083,Logan County,292401126
28463,37047,Columbus County,292342089
17740,42081,Lycoming County,292306929
84046,49009,Daggett County,292183475
83425,16051,Jefferson County,292140616
62675,17129,Menard County,291955393
57732,46081,Lawrence County,291945946
38375,47109,McNairy County,291942925
14411,36073,Orleans County,291932837
43055,39089,Licking County,291912227
97039,41055,Sherman County,291878964
97453,41039,Lane County,291877916
80813,08119,Teller County,291874623
56065,27013,Blue Earth County,291871131
76518,48331,Milam County,291865709
40380,21197,Powell County,291807854
58461,38003,Barnes County,291735866
50583,19161,Sac County,291732068
83335,16053,Jerome County,291710964
75161,48257,Kaufman County,291698846
49827,26097,Mackinac County,291674798
97055,41005,Clackamas County,291668612
32571,12113,Santa Rosa County,291666388
28466,37061,Duplin County,291586127
43567,39051,Fulton County,291520416
15537,42009,Bedford County,291461245
73042,40015,Caddo County,291457877
32466,12005,Bay County,291442352
46356,18089,Lake County,291432756
28478,37141,Pender County,291426970
24401,51015,Augusta County,291369000
08019,34005,Burlington County,291347001
72641,05101,Newton County,291284357
58059,38017,Cass County,291259787
29458,45019,Charleston County,291224126
30241,13285,Troup County,291156901
81006,08101,Pueblo County,291071417
38646,28119,Quitman County,290935758
37148,47165,Sumner County,290911802
92252,06071,San Bernardino County,290907686
32359,12029,Dixie County,290731804
49879,26103,Marquette County,290689136
62025,17119,Madison County,290675671
16201,42005,Armstrong County,290667109
97128,41071,Yamhill County,290649665
15701,42063,Indiana County,290639913
81507,08077,Mesa County,290567257
18328,42103,Pike County,290487867
67572,20135,Ness County,290438057
70788,22047,Iberville Parish,290429197
31635,13173,Lanier County,290415192
83858,16055,Kootenai County,290393586
26206,54101,Webster County,290332809
58655,38089,Stark County,290260728
62849,17121,Marion County,290231603
54629,55011,Buffalo County,290193795
13783,36025,Delaware County,290190192
83871,16057,Latah County,290150298
72655,05101,Newton County,290114617
96034,06093,Siskiyou County,290090295
59106,30111,Yellowstone County,290074295
67356,20099,Labette County,290001556
96115,06049,Modoc County,289952170
28723,37099,Jackson County,289949841
73098,40049,Garvin County,289876091
36850,01123,Tallapoosa County,289783723
84022,49045,Tooele County,289691785
58712,38049,McHenry County,289659833
39111,28127,Simpson County,289616246
85927,04001,Apache County,289446795
64473,29087,Holt County,289404606
83322,16025,Camas County,289403019
17241,42041,Cumberland County,289303018
74965,40001,Adair County,289290455
40322,21165,Menifee County,289239308
03588,33007,Coos County,289227203
57562,46075,Jones County,289125763
65552,29215,Texas County,289098383
53959,55111,Sauk County,289073384
97867,41061,Union County,289008780
62080,17051,Fayette County,288968635
59547,30005,Blaine County,288963497
64076,29107,Lafayette County,288903265
26270,54083,Randolph County,288874075
56073,27015,Brown County,288853263
82839,56033,Sheridan County,288801006
31094,13303,Washington County,288792222
39045,28089,Madison County,288542156
98616,53059,Skamania County,288416298
29078,45055,Kershaw County,288217127
57078,46135,Yankton County,288203460
65656,29209,Stone County,288158278
95555,06023,Humboldt County,288141621
58723,38055,McLean County,288113574
78621,48021,Bastrop County,287954560
96052,06105,Trinity County,287929970
36587,01097,Mobile County,287929726
51462,19073,Greene County,287929348
96003,06089,Shasta County,287881061
49895,26041,Delta County,287856185
56277,27129,Renville County,287848652
30821,13301,Warren County,287757196
73768,40093,Major County,287756705
52653,19115,Louisa County,287745327
83855,16057,Latah County,287714351
98597,53067,Thurston County,287528807
98376,53031,Jefferson County,287480058
62966,17077,Jackson County,287473654
12969,36033,Franklin County,287460666
57258,46025,Clark County,287363066
79540,48433,Stonewall County,287362518
74401,40101,Muskogee County,287328193
79323,48165,Gaines County,287285485
18848,42015,Bradford County,287257506
37727,47029,Cocke County,287189816
54875,55129,Washburn County,287140182
62960,17127,Massac County,287139778
67520,20165,Rush County,287077918
71652,05025,Cleveland County,287036444
12078,36035,Fulton County,286982471
58011,38017,Cass County,286966949
17015,42041,Cumberland County,286925141
57435,46049,Faulk County,286771488
26261,54025,Greenbrier County,286761205
72355,05107,Phillips County,286666519
22473,51133,Northumberland County,286639836
43402,39173,Wood County,286595719
48846,26067,Ionia County,286535046
67546,20113,McPherson County,286470875
26833,54023,Grant County,286444900
35481,01107,Pickens County,286421849
72583,05049,Fulton County,286324029
54745,55017,Chippewa County,286274002
60033,17111,McHenry County,286153707
30411,13309,Wheeler County,286151877
66762,20037,Crawford County,286083956
17032,42043,Dauphin County,286049547
12981,36019,Clinton County,286023508
03266,33009,Grafton County,285810798
42406,21101,Henderson County,285809861
31519,13069,Coffee County,285739765
28540,37133,Onslow County,285710251
